source,scraped_at,url,sku,title,username,public_profile,business_profile_id,host_user_id,entity_type,subscriber_count,spotlight_count,highlight_count,story_snap_count,lens_count,has_story,has_curated_highlights,has_spotlight_highlights,bio,website_url,address,category,subcategory,badge,profile_picture_url,hero_image_url,snapcode_url,created_at,modified_at,page,position
snapchat.com,2026-09-24T08:12:42Z,https://www.snapchat.com/@nasa,cb983b26-c537-474b-9699-065309205ea2,NASA,nasa,True,cb983b26-c537-474b-9699-065309205ea2,92ea5bae-4f78-4611-ba8c-a60235ac2b49,Organization,757800,7,10,0,3,False,True,True,Explore the universe and discover our home planet with official NASA snaps.,https://www.nasa.gov,,public-profile-category-v3-business-group,public-profile-subcategory-v3-government-org,1,"https://cf-st.sc-cdn.net/aps/bolt/aHR0cHM6Ly9jZi1zdC5zYy1jZG4ubmV0L2QvUVg2VHZkaDBHNUMzcXVidWhWaTJhP2JvPUVnMGFBQm9BTWdFRVNBSlFHV0FCJnVjPTI1._RS0,90_FMjpeg","https://cf-st.sc-cdn.net/aps/bolt/aHR0cHM6Ly9jZi1zdC5zYy1jZG4ubmV0L2QvalRSaVBkS2NYWmJlV0w4dXNPeWNtP2JvPUVna3lBUVJJQWxBWllBRSUzRCZ1Yz0yNQ._RS0,1080_FMjpeg",https://app.snapchat.com/web/deeplink/snapcode?username=nasa&type=SVG&bitmoji=enable,2019-05-22T17:38:27Z,2026-09-18T20:46:24Z,1,1
snapchat.com,2026-09-24T08:12:42Z,https://www.snapchat.com/@mrbeast,fe63dec1-4fa4-476c-9c73-19b2bc2e8589,MrBeast,mrbeast,True,fe63dec1-4fa4-476c-9c73-19b2bc2e8589,cb1adae6-ecc9-4a5f-b979-3f34d4cf1681,Person,1466200,4,6,0,0,False,True,True,,,,,,1,"https://cf-st.sc-cdn.net/aps/bolt/aHR0cHM6Ly9jZi1zdC5zYy1jZG4ubmV0L2QvR2M2MEJNODVEdjRHWU5yVk9EbFZwP2JvPUVnMGFBQm9BTWdFRVNBSlFHV0FCJnVjPTI1._RS0,90_FMpng","https://cf-st.sc-cdn.net/aps/bolt/aHR0cHM6Ly9jZi1zdC5zYy1jZG4ubmV0L2QvQ3F4eklZZHVGZUI3Tm55SGRBM2FEP2JvPUVnMGFBQm9BTWdFRVNBSlFHV0FCJnVjPTI1._RS0,1080_FMjpeg",https://app.snapchat.com/web/deeplink/snapcode?username=mrbeast&type=SVG&bitmoji=enable,2019-05-16T14:46:37Z,2026-09-11T20:48:24Z,2,1
snapchat.com,2026-09-24T08:12:42Z,https://www.snapchat.com/@khaby00,f18693b6-e5db-4c51-bfc2-6688a18c85ab,Khaby Lame,khaby00,True,f18693b6-e5db-4c51-bfc2-6688a18c85ab,274c98a9-c7f7-4233-94c6-9212e963087f,Person,,7,0,0,0,False,False,True,Official Khaby Lame Snapchat                                                                           70 MLN on Tik Tok,,Subscribe for a Cookie,public-profile-category-v3-people,,0,"https://cf-st.sc-cdn.net/aps/bolt/aHR0cHM6Ly9jZi1zdC5zYy1jZG4ubmV0L2QvNndyY252ODVFSTZpWUJOdXY2cjM1P2JvPUVnMGFBQm9BTWdFRVNBSlFHV0FCJnVjPTI1._RS0,90_FMjpeg",,https://app.snapchat.com/web/deeplink/snapcode?username=khaby00&type=SVG&bitmoji=enable,2021-05-16T02:06:57Z,2025-08-19T07:21:14Z,3,1
snapchat.com,2026-09-24T08:12:42Z,https://www.snapchat.com/@espn,espn,espn,espn,False,,,,,,,,,,,,,,,,,,,,https://app.snapchat.com/web/deeplink/snapcode?username=espn&type=SVG&bitmoji=enable,,,4,1
